open_time,direction,entry_price,sl_price,tp_price,atr,probability
2020.12.09 08:15,-1,1860.38500,1862.10779,1856.07804,1.72279,0.51240
2020.12.09 09:45,-1,1860.77500,1862.65200,1856.08250,1.87700,0.52177
2020.12.09 11:30,-1,1853.83800,1855.07436,1850.74711,1.23636,0.62675
2020.12.09 14:00,-1,1857.52500,1859.88664,1851.62089,2.36164,0.58581
2020.12.09 16:30,-1,1845.03800,1847.57207,1838.70282,2.53407,0.53667
2020.12.09 18:30,-1,1833.88800,1835.90036,1828.85711,2.01236,0.55932
2020.12.11 13:15,1,1836.04900,1834.31871,1840.37471,1.73029,0.51858
2020.12.11 15:45,1,1844.41800,1842.04929,1850.33979,2.36871,0.50018
2020.12.11 17:30,-1,1842.09800,1843.02307,1839.78532,0.92507,0.50174
2020.12.15 09:15,1,1845.31500,1843.66386,1849.44286,1.65114,0.62946
2020.12.15 11:45,1,1842.76800,1841.78586,1845.22336,0.98214,0.59999
2020.12.15 15:30,1,1848.87800,1846.54464,1854.71139,2.33336,0.55623
2020.12.16 01:00,1,1852.16500,1851.42714,1854.00964,0.73786,0.61873
2020.12.16 02:45,1,1857.47500,1856.19421,1860.67696,1.28079,0.56375
2020.12.16 08:00,1,1855.29500,1853.93586,1858.69286,1.35914,0.62729
2020.12.16 09:30,1,1863.42500,1861.55936,1868.08911,1.86564,0.56912
2020.12.17 04:15,1,1866.60800,1866.03779,1868.03354,0.57021,0.60099
2020.12.17 05:45,1,1869.43800,1868.52750,1871.71425,0.91050,0.59468
2020.12.17 07:30,1,1872.95500,1871.72386,1876.03286,1.23114,0.62852
2020.12.17 10:00,1,1874.91600,1873.26579,1879.04154,1.65021,0.66060
2020.12.17 13:15,1,1878.19800,1876.25336,1883.05961,1.94464,0.57620
2020.12.17 15:30,1,1890.44800,1887.98729,1896.59979,2.46071,0.57251
2020.12.21 02:45,1,1895.18500,1893.53293,1899.31518,1.65207,0.55972
2020.12.22 04:00,-1,1882.66700,1883.63129,1880.25629,0.96429,0.58816
2020.12.28 01:00,1,1895.14800,1893.58086,1899.06586,1.56714,0.55912
2020.12.30 13:00,1,1877.98800,1877.02129,1880.40479,0.96671,0.55349
2020.12.30 14:30,1,1883.27800,1881.26057,1888.32157,2.01743,0.52164
2020.12.30 16:15,1,1885.68500,1884.16593,1889.48268,1.51907,0.53210
2021.01.04 01:30,1,1916.96800,1915.28636,1921.17211,1.68164,0.61767
2021.01.04 08:45,1,1931.99800,1929.97121,1937.06496,2.02679,0.60304
2021.01.04 10:15,1,1928.90800,1927.72271,1931.87121,1.18529,0.57806
2021.01.04 13:00,1,1933.83800,1932.00000,1938.43300,1.83800,0.61118
2021.01.04 15:15,1,1934.42500,1931.24071,1942.38571,3.18429,0.59382
2021.01.05 08:15,1,1942.83900,1941.11057,1947.16007,1.72843,0.62536
2021.01.05 11:00,1,1947.25500,1945.82143,1950.83893,1.43357,0.59158
2021.01.05 18:00,1,1951.25800,1949.82607,1954.83782,1.43193,0.51737
2021.01.05 19:45,1,1951.19500,1950.13329,1953.84929,1.06171,0.50217
2021.01.06 15:15,-1,1923.63800,1927.58014,1913.78264,3.94214,0.53469
2021.01.08 08:00,-1,1885.14000,1888.58943,1876.51643,3.44943,0.55255
2021.01.08 10:00,-1,1892.38500,1894.75529,1886.45929,2.37029,0.63568
2021.01.08 11:30,-1,1893.98500,1895.59314,1889.96464,1.60814,0.58994
2021.01.08 14:30,-1,1871.67800,1876.34800,1860.00300,4.67000,0.61955
2021.01.08 17:00,-1,1853.60500,1857.84179,1843.01304,4.23679,0.61529
2021.01.08 18:45,-1,1838.19800,1842.87329,1826.50979,4.67529,0.56708
2021.01.12 16:30,1,1843.09500,1841.08979,1848.10804,2.00521,0.53237
2021.01.12 18:15,1,1844.08800,1842.18257,1848.85157,1.90543,0.53464
2021.01.20 02:30,1,1848.67500,1847.62300,1851.30500,1.05200,0.52578
2021.01.20 06:15,1,1852.11500,1851.02993,1854.82768,1.08507,0.51069
2021.01.20 07:45,1,1855.74500,1854.67700,1858.41500,1.06800,0.54507
2021.01.20 10:30,-1,1854.67500,1855.83414,1851.77714,1.15914,0.50109
2021.01.20 13:15,1,1840.92200,1838.03514,1848.13914,2.88686,0.52525
2021.01.21 02:00,1,1868.62800,1867.21386,1872.16336,1.41414,0.51433
2021.01.22 08:15,-1,1860.17500,1861.36557,1857.19857,1.19057,0.61395
2021.01.22 09:45,-1,1858.68500,1860.07100,1855.22000,1.38600,0.61314
2021.01.22 11:45,-1,1843.26500,1845.54221,1837.57196,2.27721,0.58485
2021.01.27 01:15,-1,1848.71500,1849.62764,1846.43339,0.91264,0.53912
