low_mult,mid_mult,high_mult,score,median_final,min_final,mean_final,worst_dd_pct,loss_folds,total_active_trades,median_wr_pct
1.0,0.8,1.3,2485.1,2686.86,1451.79,3393.94,-25.22,0,2561,52.27
1.0,0.8,1.5,2485.1,2686.86,1451.79,3395.47,-25.22,0,2561,52.27
1.15,0.6,0.8,2433.32,2645.32,1402.02,3175.59,-26.5,0,2561,52.27
1.15,0.6,1.0,2433.32,2645.32,1402.02,3177.13,-26.5,0,2561,52.27
1.15,0.6,1.15,2433.32,2645.32,1402.02,3178.27,-26.5,0,2561,52.27
1.15,0.6,1.3,2433.32,2645.32,1402.02,3179.42,-26.5,0,2561,52.27
1.15,0.6,1.5,2433.32,2645.32,1402.02,3180.96,-26.5,0,2561,52.27
0.75,0.8,0.8,2418.24,2636.96,1443.55,3182.93,-27.34,0,2561,52.27
0.75,0.8,1.0,2418.24,2636.96,1443.55,3184.47,-27.34,0,2561,52.27
0.75,0.8,1.15,2418.24,2636.96,1443.55,3185.61,-27.34,0,2561,52.27
0.75,0.8,1.3,2418.24,2636.96,1443.55,3186.76,-27.34,0,2561,52.27
0.75,0.8,1.5,2418.24,2636.96,1443.55,3188.3,-27.34,0,2561,52.27
0.5,1.0,0.8,2417.92,2698.4,1450.18,3314.58,-35.06,0,2561,52.27
0.5,1.0,1.0,2417.92,2698.4,1450.18,3316.11,-35.06,0,2561,52.27
0.5,1.0,1.15,2417.92,2698.4,1450.18,3317.26,-35.06,0,2561,52.27
0.5,1.0,1.3,2417.92,2698.4,1450.18,3318.41,-35.06,0,2561,52.27
0.5,1.0,1.5,2417.92,2698.4,1450.18,3319.94,-35.06,0,2561,52.27
1.0,0.6,0.8,2318.69,2506.53,1397.08,3051.29,-23.48,0,2561,52.27
1.0,0.6,1.0,2318.69,2506.53,1397.08,3052.82,-23.48,0,2561,52.27
1.0,0.6,1.15,2318.69,2506.53,1397.08,3053.97,-23.48,0,2561,52.27
1.0,0.6,1.3,2318.69,2506.53,1397.08,3055.12,-23.48,0,2561,52.27
1.0,0.6,1.5,2318.69,2506.53,1397.08,3056.65,-23.48,0,2561,52.27
0.0,1.4,0.8,2232.01,2976.17,1120.33,3577.87,-61.77,1,1443,57.89
0.0,1.4,1.0,2232.01,2976.17,1120.33,3579.4,-61.77,1,1443,57.89
0.0,1.4,1.15,2232.01,2976.17,1120.33,3580.55,-61.77,1,1443,57.89
0.0,1.4,1.3,2232.01,2976.17,1120.33,3581.7,-61.77,1,1443,57.89
0.0,1.4,1.5,2232.01,2976.17,1120.33,3583.23,-61.77,1,1443,57.89
0.5,0.8,0.8,2201.12,2440.0,1435.32,2975.76,-29.86,0,2561,52.27
0.5,0.8,1.0,2201.12,2440.0,1435.32,2977.29,-29.86,0,2561,52.27
0.5,0.8,1.15,2201.12,2440.0,1435.32,2978.44,-29.86,0,2561,52.27
0.5,0.8,1.3,2201.12,2440.0,1435.32,2979.59,-29.86,0,2561,52.27
0.5,0.8,1.5,2201.12,2440.0,1435.32,2981.12,-29.86,0,2561,52.27
0.75,0.6,0.8,2140.74,2315.14,1388.84,2844.11,-21.8,0,2561,52.27
0.75,0.6,1.0,2140.74,2315.14,1388.84,2845.64,-21.8,0,2561,52.27
0.75,0.6,1.15,2140.74,2315.14,1388.84,2846.79,-21.8,0,2561,52.27
0.75,0.6,1.3,2140.74,2315.14,1388.84,2847.94,-21.8,0,2561,52.27
0.75,0.6,1.5,2140.74,2315.14,1388.84,2849.48,-21.8,0,2561,52.27
0.0,1.25,1.5,2079.39,2793.47,1128.86,3329.11,-58.01,1,1443,57.89
0.0,1.25,0.8,2071.78,2785.86,1128.86,3323.75,-58.01,1,1443,57.89
0.0,1.25,1.0,2071.78,2785.86,1128.86,3325.28,-58.01,1,1443,57.89
0.0,1.25,1.15,2071.78,2785.86,1128.86,3326.43,-58.01,1,1443,57.89
0.0,1.25,1.3,2071.78,2785.86,1128.86,3327.58,-58.01,1,1443,57.89
0.5,0.6,0.8,2024.75,2216.27,1380.61,2636.94,-23.94,0,2561,52.27
0.5,0.6,1.0,2024.75,2216.27,1380.61,2638.47,-23.94,0,2561,52.27
0.5,0.6,1.15,2024.75,2216.27,1380.61,2639.62,-23.94,0,2561,52.27
0.5,0.6,1.3,2024.75,2216.27,1380.61,2640.77,-23.94,0,2561,52.27
0.5,0.6,1.5,2024.75,2216.27,1380.61,2642.3,-23.94,0,2561,52.27
0.0,1.1,1.5,1926.72,2607.52,1137.4,3075.0,-53.85,1,1443,57.89
0.0,1.1,1.3,1919.63,2600.43,1137.4,3073.47,-53.85,1,1443,57.89
0.0,1.1,0.8,1914.76,2595.56,1137.4,3069.64,-53.85,1,1443,57.89
0.0,1.1,1.0,1914.76,2595.56,1137.4,3071.17,-53.85,1,1443,57.89
0.0,1.1,1.15,1914.76,2595.56,1137.4,3072.32,-53.85,1,1443,57.89
0.0,1.0,1.3,1823.08,2479.56,1143.09,2904.06,-50.81,1,1443,57.89
0.0,1.0,1.5,1823.08,2479.56,1143.09,2905.59,-50.81,1,1443,57.89
0.0,1.0,1.15,1813.73,2470.21,1143.09,2902.91,-50.81,1,1443,57.89
0.0,1.0,0.8,1812.21,2468.69,1143.09,2900.23,-50.81,1,1443,57.89
0.0,1.0,1.0,1812.21,2468.69,1143.09,2901.76,-50.81,1,1443,57.89
0.0,0.8,1.15,1621.81,2223.65,1154.47,2564.09,-43.98,1,1443,57.89
0.0,0.8,1.3,1621.81,2223.65,1154.47,2565.24,-43.98,1,1443,57.89
0.0,0.8,1.5,1621.81,2223.65,1154.47,2566.77,-43.98,1,1443,57.89
0.0,0.8,1.0,1621.63,2223.47,1154.47,2562.94,-43.98,1,1443,57.89
0.0,0.8,0.8,1613.11,2214.95,1154.47,2561.41,-43.98,1,1443,57.89
0.0,0.6,0.8,1430.22,1967.74,1165.85,2222.59,-35.94,1,1443,57.89
0.0,0.6,1.0,1430.22,1967.74,1165.85,2224.12,-35.94,1,1443,57.89
0.0,0.6,1.15,1430.22,1967.74,1165.85,2225.27,-35.94,1,1443,57.89
0.0,0.6,1.3,1430.22,1967.74,1165.85,2226.42,-35.94,1,1443,57.89
0.0,0.6,1.5,1430.22,1967.74,1165.85,2227.95,-35.94,1,1443,57.89
